;RestaurantName;AverageCostForTwo;AggregateRating;RatingText;Votes;Date;Coordinates;City/Country/Continent
0;Le Petit Souffle;1100;4.8;Excellent;314.0;2017-07-22T22:28:09Z;[14.565443, 121.027535];Makati City/Philippines/Asia
1;Buffet 101;2000;4.0;Very Good;520.0;2018-04-22T22:28:09Z;[14.53133333, 120.9796667];Pasay City/Philippines/Asia
2;Vikings;2000;4.2;Very Good;677.0;2018-12-03T04:07:25Z;[14.54, 120.9793333];Pasay City/Philippines/Asia
3;Spiral - Sofitel Philippine Plaza Manila;6000;4.9;Excellent;621.0;2018-05-19T23:10:50Z;[14.55299, 120.98009];Pasay City/Philippines/Asia
4;Locavore;1100;4.8;Excellent;532.0;2018-07-23T05:35:42Z;[14.572041, 121.056532];Pasig City/Philippines/Asia
5;Silantro Fil-Mex;800;4.9;Excellent;1070.0;2018-01-30T21:08:38Z;[14.567689, 121.057916];Pasig City/Philippines/Asia
6;Mad Mark's Creamery & Good Eats;900;4.2;Very Good;488.0;2016-08-09T23:48:51Z;[14.570849, 121.06082];Pasig City/Philippines/Asia
7;Silantro Fil-Mex;800;4.8;Excellent;294.0;2017-12-03T09:17:59Z;[14.649503, 121.075419];Quezon City/Philippines/Asia
8;Guevarra's;1000;4.2;Very Good;458.0;2017-06-09T22:16:22Z;[14.59345, 121.03359170000002];San Juan City/Philippines/Asia
9;Sodam Korean Restaurant;700;4.3;Very Good;223.0;2017-07-13T09:13:40Z;[14.59889, 121.03811];San Juan City/Philippines/Asia
10;Cafe Arabelle;800;3.6;Good;29.0;2017-10-21T19:58:00Z;[14.237082, 121.05704];Santa Rosa/Philippines/Asia
11;Nonna's Pasta & Pizzeria;850;4.0;Very Good;72.0;2017-03-08T06:40:40Z;[14.23767897, 121.0565874];Santa Rosa/Philippines/Asia
12;Balay Dako;1200;4.5;Excellent;211.0;2018-11-10T00:08:21Z;[14.101834, 120.95158899999998];Tagaytay City/Philippines/Asia
13;Hobing Korean Dessert Cafe;600;4.5;Excellent;118.0;2017-06-12T10:02:10Z;[14.55436, 121.045878];Taguig City/Philippines/Asia
14;Wildflour Cafe + Bakery;1500;4.4;Very Good;392.0;2016-11-16T19:57:55Z;[14.549337, 121.04622];Taguig City/Philippines/Asia
15;NIU by Vikings;3000;4.7;Excellent;535.0;2016-07-15T04:19:56Z;[14.545858, 121.053725];Taguig City/Philippines/Asia
16;The Food Hall by Todd English;1800;4.5;Excellent;618.0;2016-12-17T08:40:52Z;[14.54565535, 121.0534998];Taguig City/Philippines/Asia
17;Chez Michou;55;3.0;Average;6.0;2018-11-23T10:14:00Z;[-15.76414167, -47.88178889];Brasí_lia/Brazil/South America
18;Cafí© Daniel Briand;30;3.8;Good;9.0;2016-09-21T23:39:29Z;[-15.7775, -47.88266667];Brasí_lia/Brazil/South America
19;Casa do Biscoito Mineiro;45;3.7;Good;11.0;2017-05-23T12:41:45Z;[-15.75747222, -47.88213611];Brasí_lia/Brazil/South America
20;Maori;60;3.8;Good;11.0;2017-05-10T02:27:41Z;[-15.75883333, -47.88816667];Brasí_lia/Brazil/South America
21;Pizza íæ Bessa;50;3.2;Average;11.0;2016-12-11T00:12:02Z;[-15.83116667, -47.91566667];Brasí_lia/Brazil/South America
22;Sushi Loko;80;3.1;Average;10.0;2018-06-12T16:13:57Z;[-15.831, -47.91566667];Brasí_lia/Brazil/South America
23;Beirute;90;3.7;Good;8.0;2017-06-07T17:02:01Z;[-15.82, -47.9075];Brasí_lia/Brazil/South America
24;New Koto;200;3.7;Good;5.0;2017-05-03T12:19:40Z;[-15.82733333, -47.91016667];Brasí_lia/Brazil/South America
25;Sandubas Cafí©;30;0.0;Not rated;2.0;2018-10-01T06:36:51Z;[-15.797, -47.89016667];Brasí_lia/Brazil/South America
26;Villa Tevere;150;4.1;Very Good;12.0;2017-08-27T22:12:39Z;[-15.83133333, -47.92366667];Brasí_lia/Brazil/South America
27;Rovereto;100;3.1;Average;9.0;2018-06-03T17:11:00Z;[-15.83716667, -48.019];Brasí_lia/Brazil/South America
28;Buena Carne;60;3.6;Good;9.0;2018-10-31T02:22:29Z;[-15.839775, -48.01909167];Brasí_lia/Brazil/South America
29;Taco Pep;100;4.3;Very Good;29.0;2016-07-20T06:19:01Z;[-15.83483333, -48.01666667];Brasí_lia/Brazil/South America
30;Coco Bambu;230;4.2;Very Good;17.0;2016-07-20T10:17:27Z;[-15.7865, -47.889];Brasí_lia/Brazil/South America
31;Taypíç;100;3.6;Good;5.0;2018-03-11T10:58:50Z;[-15.860620999999998, -47.872359];Brasí_lia/Brazil/South America
32;Outback Steakhouse;150;4.0;Very Good;10.0;2016-10-03T10:51:09Z;[-15.83451389, -47.95628333];Brasí_lia/Brazil/South America
33;Manzuíç;240;3.2;Average;6.0;2018-08-03T08:36:16Z;[-15.82566667, -47.87283333];Brasí_lia/Brazil/South America
34;Coco Bambu;230;4.9;Excellent;30.0;2016-04-27T11:30:32Z;[-15.819, -47.8685];Brasí_lia/Brazil/South America
35;Gero;350;3.3;Average;8.0;2017-12-28T04:17:56Z;[-15.720118, -47.885812];Brasí_lia/Brazil/South America
36;Brazilian American Burgers;50;3.6;Good;9.0;2016-04-10T02:03:21Z;[-15.79753056, -47.92102778];Brasí_lia/Brazil/South America
37;Pesqueiro Eco Gourmet;140;4.0;Very Good;7.0;2018-02-01T20:40:13Z;[-23.0115, -43.377];Rio de Janeiro/Brazil/South America
38;Confeitaria Colombo;100;4.8;Excellent;29.0;2018-12-20T03:46:34Z;[-22.905293, -43.178826];Rio de Janeiro/Brazil/South America
39;Bibi;60;4.7;Excellent;24.0;2016-02-24T07:44:48Z;[-22.97207222, -43.18669167];Rio de Janeiro/Brazil/South America
40;Cervantes;90;4.5;Excellent;29.0;2016-03-12T06:11:44Z;[-22.96216667, -43.17583333];Rio de Janeiro/Brazil/South America
41;Amir;170;4.2;Very Good;11.0;2016-12-29T23:57:15Z;[-22.96516667, -43.176];Rio de Janeiro/Brazil/South America
42;TT Burger;60;4.8;Excellent;19.0;2016-07-07T09:03:43Z;[-22.98683333, -43.191];Rio de Janeiro/Brazil/South America
43;Braseiro da Gíçvea;100;4.9;Excellent;40.0;2018-05-24T16:34:59Z;[-22.973507, -43.227042];Rio de Janeiro/Brazil/South America
44;Balada Mix;90;4.6;Excellent;21.0;2017-09-27T02:56:07Z;[-22.98520833, -43.211425];Rio de Janeiro/Brazil/South America
45;Garota de Ipanema;120;4.9;Excellent;49.0;2018-02-15T08:36:36Z;[-22.98533333, -43.203];Rio de Janeiro/Brazil/South America
46;Zazíç BistríÇ Tropical;170;4.6;Excellent;21.0;2018-12-29T01:38:48Z;[-22.98531944, -43.20520833];Rio de Janeiro/Brazil/South America
47;Filí© de Ouro;90;4.3;Very Good;14.0;2018-03-19T10:33:20Z;[-22.966647, -43.219563];Rio de Janeiro/Brazil/South America
48;D.O.C Ristorante;150;4.0;Very Good;5.0;2017-04-23T11:51:15Z;[-22.99991111, -43.34879167];Rio de Janeiro/Brazil/South America
49;Sushi Leblon;250;4.6;Excellent;25.0;2017-06-30T16:26:17Z;[-22.98416667, -43.227];Rio de Janeiro/Brazil/South America
50;Talho Capixaba;120;4.4;Very Good;13.0;2016-11-21T03:06:55Z;[-22.98516667, -43.22566667];Rio de Janeiro/Brazil/South America
51;Leme Light;40;4.2;Very Good;7.0;2016-06-28T08:53:15Z;[-22.963925, -43.17279167];Rio de Janeiro/Brazil/South America
52;Shirley;250;4.2;Very Good;8.0;2018-02-11T10:32:46Z;[-22.96337222, -43.17126389];Rio de Janeiro/Brazil/South America
53;Quiosque Chopp Brahma;70;0.0;Not rated;1.0;2018-01-13T18:24:47Z;[-22.870413, -43.341164];Rio de Janeiro/Brazil/South America
54;Aprazí_vel;300;4.7;Excellent;44.0;2017-06-17T09:53:47Z;[-22.92481389, -43.18736944];Rio de Janeiro/Brazil/South America
55;Aconchego Carioca;85;4.6;Excellent;24.0;2017-08-04T14:37:53Z;[-22.91370833, -43.21551111];Rio de Janeiro/Brazil/South America
56;Garota de Ipanema;80;4.3;Very Good;10.0;2016-04-10T22:59:39Z;[-22.94783333, -43.16266667];Rio de Janeiro/Brazil/South America
57;Cantina Famiglia Mancini;250;4.5;Excellent;49.0;2017-12-18T20:49:36Z;[-23.55066667, -46.64516667];Sí£o Paulo/Brazil/South America
58;Templo da Carne - Marcos Bassi;250;4.4;Very Good;17.0;2018-03-14T11:38:31Z;[-23.559, -46.64633333];Sí£o Paulo/Brazil/South America
59;Gopala Hari;70;3.1;Average;5.0;2018-01-12T07:30:27Z;[-23.55616667, -46.65866667];Sí£o Paulo/Brazil/South America
60;Jiquitaia;100;4.1;Very Good;15.0;2018-10-21T23:16:41Z;[-23.55671, -46.657523];Sí£o Paulo/Brazil/South America
61;Skye - Hotel Unique;300;4.8;Excellent;59.0;2018-10-09T01:10:25Z;[-23.581688, -46.666851];Sí£o Paulo/Brazil/South America
62;Les 3 Brasseurs;120;4.6;Excellent;30.0;2017-12-16T16:03:31Z;[-23.582135, -46.67511];Sí£o Paulo/Brazil/South America
63;Red Steak & Burger;75;3.9;Good;5.0;2016-09-29T11:12:54Z;[-23.585324, -46.683888];Sí£o Paulo/Brazil/South America
64;Cantinho da Gula;55;0.0;Not rated;0.0;2018-01-28T23:45:03Z;[-23.581, -46.67566667];Sí£o Paulo/Brazil/South America
65;Paris 6 Classique;200;3.4;Average;73.0;2016-06-18T04:58:14Z;[-23.561568, -46.666041];Sí£o Paulo/Brazil/South America
66;Kawa Sushi;120;3.5;Good;9.0;2017-08-04T10:09:30Z;[-23.571638, -46.657418];Sí£o Paulo/Brazil/South America
67;A Figueira Rubaiyat;300;4.3;Very Good;39.0;2018-03-03T04:33:21Z;[-23.5655, -46.66983333];Sí£o Paulo/Brazil/South America
68;Kinoshita;230;3.9;Good;12.0;2018-03-20T22:19:58Z;[-23.59233333, -46.67133333];Sí£o Paulo/Brazil/South America
69;Meats;120;4.3;Very Good;68.0;2018-01-18T16:50:07Z;[-23.56483333, -46.68133333];Sí£o Paulo/Brazil/South America
70;Paribar;150;4.3;Very Good;46.0;2016-10-10T11:01:28Z;[-23.54664167, -46.64159444];Sí£o Paulo/Brazil/South America
71;Terraí_o Itíçlia;400;4.4;Very Good;37.0;2016-07-28T19:04:40Z;[-23.545163, -46.643425];Sí£o Paulo/Brazil/South America
72;Divino Fogí£o;65;0.0;Not rated;2.0;2018-07-07T13:17:25Z;[-23.5995, -46.63716667];Sí£o Paulo/Brazil/South America
73;Super Grill;50;0.0;Not rated;2.0;2018-08-19T00:59:20Z;[-23.622925, -46.698574];Sí£o Paulo/Brazil/South America
74;Esquina Mocotí_;100;4.4;Very Good;22.0;2016-06-14T00:17:29Z;[-23.486535, -46.581672];Sí£o Paulo/Brazil/South America
75;Veloso;70;4.6;Excellent;58.0;2018-04-17T07:51:37Z;[-23.58516667, -46.63566667];Sí£o Paulo/Brazil/South America
76;Sainte Marie Gastronomia;120;4.1;Very Good;11.0;2016-11-01T12:55:36Z;[-23.609207, -46.746958];Sí£o Paulo/Brazil/South America
